09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:53.002 -> 11062,10.4,0.8,0.99,-0.9,100.0,0.0,28.9,1015.5,3
09:01:53.034 -> 11163,10.5,0.8,0.99,-1.0,99.8,0.0,28.9,1015.5,3
09:01:53.034 -> 11264,10.6,0.8,0.99,-1.0,99.8,0.0,28.9,1015.5,3
09:01:53.034 -> 11365,10.6,0.8,0.99,-0.9,99.9,0.0,28.9,1015.5,3
09:01:53.034 -> 11467,10.7,0.7,0.99,-1.1,99.8,0.0,28.9,1015.5,3

09:01:53.034 -> 11569,10.7,0.7,0.99,-1.0,99.7,0.0,28.9,1015.5,3
09:01:53.066 -> 11670,10.8,0.7,0.99,-1.0,100.1,0.0,28.9,1015.5,3
09:01:53.066 -> 11827,10.9,0.6,0.99,-1.0,100.0,0.0,28.9,1015.5,3
09:01:53.066 -> 11928,10.9,0.7,0.99,-1.0,99.8,0.0,28.9,1015.5,3
09:01:53.066 -> 12029,11.0,0.6,0.99,-0.8,100.0,0.0,28.9,1015.5,3
09:01:53.066 -> 12131,11.1,0.6,0.99,-1.1,100.0,0.0,28.9,1015.5,3
09:01:53.066 -> 12233,11.1,0.6,0.99,-1.1,100.0,0.0,28.9,1015.5,3
09:01:53.066 -> 12334,11.1,0.5,0.99,-1.1,99.7,0.0,28.9,1015.5,3
09:01:53.100 -> 12439,11.2,0.5,0.98,-1.1,99.8,0.0,29.0,1015.5,3
09:01:53.100 -> 12540,11.2,0.5,0.99,-1.2,100.1,0.0,29.0,1015.5,3
09:01:53.100 -> 12641,11.3,0.5,0.99,-1.1,99.9,0.0,29.0,1015.5,3
09:01:53.100 -> 12742,11.3,0.4,0.99,-1.1,99.8,0.0,29.0,1015.4,3
09:01:53.100 -> 12902,11.4,0.4,0.99,-1.1,99.7,0.0,29.0,1015.4,3
09:01:53.100 -> 13003,11.4,0.5,0.99,-1.1,99.7,0.0,29.0,1015.4,3
09:01:53.133 -> 13104,11.5,0.5,0.98,-1.0,99.6,0.0,29.0,1015.4,3
09:01:53.133 -> 13206,11.5,0.5,1.53,3.8,80.3,0.0,29.0,1015.4,3
09:01:53.133 -> 13308,11.5,0.4,2.19,-7.2,110.9,0.0,29.0,1015.4,3
09:01:53.133 -> 13409,11.6,0.4,1.51,-32.8,126.2,0.0,29.0,1015.4,3
09:01:53.133 -> 13510,11.6,0.4,1.01,-50.6,104.2,0.0,29.0,1015.4,3
09:01:53.133 -> 13612,11.7,0.6,0.59,-23.2,125.7,0.0,29.0,1015.4,3
09:01:53.168 -> 13714,11.8,0.8,1.01,-29.9,126.7,0.0,29.0,1015.4,3
09:01:53.168 -> 13815,11.9,1.0,0.52,-63.4,41.0,0.0,29.0,1015.3,3
09:01:53.168 -> 14012,12.2,1.4,1.04,-63.3,75.5,0.0,29.0,1015.3,3
09:01:53.168 -> 14114,12.4,1.5,0.91,-68.7,73.5,0.0,29.0,1015.3,3
09:01:53.168 -> 14215,12.5,1.5,2.01,-23.6,-3.6,0.0,29.0,1015.3,3
09:01:53.168 -> 14320,10.2,-6.2,0.65,-64.0,-2.1,0.0,29.0,1016.0,5
09:01:53.168 -> 14421,8.9,-9.1,0.91,-72.2,91.1,0.0,29.0,1016.0,5
09:01:53.202 -> 14522,8.2,-8.9,0.88,-75.6,93.3,0.0,29.0,1016.0,5
09:01:53.202 -> 14624,7.9,-7.5,1.02,-70.8,99.6,0.0,29.0,1015.9,5
09:01:53.202 -> 14726,7.8,-4.9,0.82,-66.8,114.3,0.0,29.0,1015.9,5
09:01:53.202 -> 14827,7.9,-3.0,1.18,-73.0,115.1,0.0,29.0,1015.8,5
09:01:53.202 -> 14928,8.2,-1.0,1.03,-65.3,80.8,0.0,29.0,1015.7,5
09:01:53.202 -> 15070,8.8,0.8,0.90,-44.7,110.1,0.0,29.0,1015.7,5
09:01:53.236 -> 15171,9.2,2.1,0.92,-54.0,111.9,0.0,29.0,1015.6,5
09:01:53.236 -> 15273,9.7,3.2,0.88,-53.2,124.5,0.0,29.0,1015.5,5
09:01:53.236 -> 15375,10.4,4.2,0.86,-45.6,87.4,0.0,29.0,1015.5,5
09:01:53.236 -> 15476,10.9,4.6,1.19,-43.5,103.1,0.0,29.0,1015.4,5
09:01:53.236 -> 15577,11.3,4.8,1.06,-58.0,82.8,0.0,29.0,1015.4,5
09:01:53.236 -> 15678,11.7,4.8,0.87,-64.5,71.6,0.0,29.0,1015.3,5
09:01:53.270 -> 15780,12.2,4.5,1.13,-65.8,97.4,0.0,29.0,1015.3,5
09:01:53.270 -> 15882,12.4,4.0,0.94,-64.1,71.5,0.0,29.0,1015.3,5
09:01:53.270 -> 15983,12.5,3.1,1.18,-66.6,78.3,0.0,29.0,1015.3,5
09:01:53.270 -> 16130,12.4,1.8,0.96,-75.8,88.0,0.0,29.0,1015.3,5
09:01:53.270 -> 16231,12.6,1.8,0.93,-67.3,88.0,0.0,29.0,1015.3,5
09:01:53.270 -> 16332,12.8,1.9,0.70,-62.4,77.7,0.0,29.0,1015.2,5
09:01:53.270 -> 16434,13.0,2.0,0.76,-66.3,103.6,0.0,29.0,1015.2,5
09:01:53.304 -> 16536,13.2,2.0,1.03,-63.1,101.6,0.0,29.0,1015.2,5
09:01:53.304 -> 16637,13.3,2.0,1.25,-63.9,87.8,0.0,29.0,1015.2,5
09:01:53.304 -> 16742,13.5,1.8,1.01,-75.1,89.4,0.0,29.0,1015.2,5
09:01:53.304 -> 16843,13.6,1.6,0.98,-74.3,100.6,0.0,29.0,1015.2,5
09:01:53.304 -> 16944,13.7,1.4,1.10,-70.4,101.9,0.0,29.0,1015.1,5
09:01:53.304 -> 17045,13.8,1.3,1.12,-69.5,101.9,0.0,29.0,1015.1,5
09:01:53.339 -> 17192,13.9,1.1,0.98,-63.7,107.7,0.0,29.0,1015.1,5
09:01:53.339 -> 17293,13.9,1.0,1.07,-64.0,112.7,0.0,29.0,1015.1,5
09:01:53.339 -> 17395,14.0,0.8,1.04,-61.4,119.7,0.0,29.0,1015.1,5
09:01:53.339 -> 17497,14.0,0.7,0.97,-62.2,115.9,0.0,29.0,1015.1,5
09:01:53.339 -> 17598,14.1,0.6,0.98,-62.3,116.4,0.0,29.0,1015.1,5
09:01:53.339 -> 17699,14.1,0.5,0.97,-59.9,118.2,0.0,29.0,1015.1,5
09:01:53.373 -> 17800,14.1,0.4,0.97,-59.3,117.6,0.0,29.0,1015.1,5
09:01:53.373 -> 17902,14.1,0.3,1.00,-71.4,87.7,0.0,29.0,1015.1,5
09:01:53.373 -> 18004,14.1,0.3,1.28,-71.9,134.0,0.0,29.0,1015.1,5
09:01:53.373 -> 18105,14.2,0.3,1.16,-70.4,127.4,0.0,29.0,1015.1,5
09:01:53.373 -> 18254,14.2,0.3,0.98,-66.2,107.8,0.0,29.0,1015.1,5
09:01:53.373 -> 18356,14.2,0.3,0.75,-73.7,133.1,0.0,29.0,1015.1,5
09:01:53.373 -> 18457,14.3,0.3,0.90,-76.3,154.6,0.0,29.0,1015.1,5
09:01:53.406 -> 18558,14.3,0.3,0.90,-73.4,155.1,0.0,29.0,1015.1,5
09:01:53.406 -> 18660,14.3,0.2,0.99,-72.7,149.0,0.0,29.0,1015.1,5
09:01:53.406 -> 18762,14.3,0.2,1.06,-78.5,134.1,0.0,29.0,1015.1,5
09:01:53.406 -> 18863,14.3,0.1,1.05,-77.9,163.2,0.0,29.0,1015.1,5
09:01:53.406 -> 18964,14.3,0.1,1.02,-76.1,168.9,0.0,29.0,1015.1,5
09:01:53.438 -> 19066,14.3,-0.0,1.00,-77.7,176.2,0.0,29.0,1015.1,5
