09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:54.181 -> 33655,2.5,-1.3,1.07,-65.8,35.7,0.0,29.1,1016.5,5
09:01:54.181 -> 33756,2.4,-1.3,1.01,-67.9,34.8,0.0,29.1,1016.6,5
09:01:54.181 -> 33858,2.2,-1.4,1.00,-64.2,38.6,0.0,29.1,1016.6,5
09:01:54.181 -> 33960,2.1,-1.4,1.02,-66.7,22.7,0.0,29.1,1016.6,5
09:01:54.181 -> 34061,2.0,-1.4,1.06,-60.3,19.0,0.0,29.1,1016.6,5
09:01:54.181 -> 34166,1.8,-1.4,0.97,-60.2,-6.7,0.0,29.1,1016.6,5
09:01:54.215 -> 34267,1.7,-1.4,0.97,-64.1,3.6,0.0,29.1,1016.6,5
09:01:54.215 -> 34368,1.6,-1.4,1.01,-62.8,-10.0,0.0,29.1,1016.7,5
09:01:54.215 -> 34513,1.4,-1.3,1.11,-54.9,17.0,0.0,29.1,1016.7,5
09:01:54.215 -> 34614,1.3,-1.3,1.12,-49.6,33.5,0.0,29.1,1016.7,5
09:01:54.215 -> 34715,1.2,-1.3,0.99,-49.2,35.4,0.0,29.1,1016.7,5
09:01:54.215 -> 34816,1.1,-1.3,0.89,-52.5,20.7,0.0,29.1,1016.7,5
09:01:54.215 -> 34918,1.0,-1.2,0.79,-54.7,72.5,0.0,29.1,1016.7,5
09:01:54.251 -> 35020,0.9,-1.1,0.92,-43.8,42.8,0.0,29.1,1016.7,5
09:01:54.251 -> 35121,0.8,-1.1,0.78,-40.4,39.3,0.0,29.1,1016.7,5
09:01:54.251 -> 
09:01:54.251 -> === FIN ===
